WILD — QUARTERLY KPI DASHBOARD,,,,,,,,
Category,Metric,M1 Target,M1 Actual,M2 Target,M2 Actual,M3 Target,M3 Actual,Trend
SOCIAL MEDIA,,,,,,,,
,Total followers (X/Twitter),500,,2000,,5000,,
,Total followers (IG/TikTok),300,,1500,,4000,,
,Weekly impressions,10000,,50000,,150000,,
,Engagement rate (%),3%,,4%,,5%,,
,Link clicks to landing page,200,,1000,,3000,,
LEAD GENERATION,,,,,,,,
,Landing page visits,400,,2000,,6000,,
,Email signups (Bio funnel),100,,500,,1500,,
,Email signups (Spiritual funnel),100,,500,,1500,,
,Overall opt-in rate (%),25%,,30%,,35%,,
EMAIL,,,,,,,,
,Email 1 open rate (%),60%,,60%,,60%,,
,Email 2 open rate (%),45%,,48%,,50%,,
,Email 3 open rate (%),40%,,42%,,45%,,
,Reply rate (%),10%,,12%,,15%,,
CONVERSION,,,,,,,,
,Tier 1 course sales,5,,25,,75,,
,Tier 2 course sales,0,,5,,20,,
,Community signups (Discord),3,,20,,60,,
,Community signups (Telegram),3,,20,,60,,
,Total revenue (GBP),,,,,,,
RETENTION,,,,,,,,
,Discord active member rate (%),80%,,75%,,70%,,
,Telegram active member rate (%),80%,,75%,,70%,,
,Monthly churn rate (%),10%,,7%,,5%,,
,NPS score,,,,,,,
