WILD — 12-MONTH REVENUE PROJECTION (CONSERVATIVE),,,,,,,,,,,,,
Month,New Signups,Email List Size,Tier 1 Sales,Tier 1 Revenue,Tier 2 Sales,Tier 2 Revenue,Tier 3 Sales,Tier 3 Revenue,New Community,Total Community,Community MRR,Total Monthly,Cumulative
"ASSUMPTIONS: Tier 1 = £50, Tier 2 = £100, Tier 3 = £200 | Course conv: 5% T1, 1% T2, 0.5% T3 | Community conv: 60% of course buyers | Community avg: £20/mo | Churn: 5%/mo",,,,,,,,,,,,,
Month 1,200,,,,,,,,,,,,
Month 2,350,,,,,,,,,,,,
Month 3,600,,,,,,,,,,,,
Month 4,900,,,,,,,,,,,,
Month 5,1200,,,,,,,,,,,,
Month 6,1600,,,,,,,,,,,,
Month 7,2200,,,,,,,,,,,,
Month 8,2800,,,,,,,,,,,,
Month 9,3500,,,,,,,,,,,,
Month 10,4000,,,,,,,,,,,,
Month 11,4500,,,,,,,,,,,,
Month 12,5000,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,
