TIER 1  |  WILD FOUNDATIONS  |  $50  |  7 Modules  |  ~90 Minutes Total,,,,,,,,,,,,,,,
Target: Complete beginners. Walks through the 7-Night Protocol in structured video format. Ends with community bridge to Discord.,,,,,,,,,,,,,,,
Module,Title,,,Length,Core Learning Objective,,,Key Topics Covered,,,Deliverable / Exercise,,Corresponds To,,Status
M1,Welcome: The REM Performance Thesis,,,12 min,"Student understands WHY WILD is a cognitive performance tool, not a spiritual practice. Sets correct expectations.",,,"REM neuroscience overview. What happens in REM. Prefrontal reactivation. Norepinephrine drop. Historical cases: Tesla, Edison, McCartney. What WILD is and is not.",,,Download and read the 7-Night Protocol PDF. Set up your tracking template. Write down one specific use case for your lucid training.,,Protocol PDF: Introduction,,Record
M2,Night 1-2: Circadian Preparation,,,18 min,"Student implements circadian optimization protocol. Correctly executes morning light, evening wind-down, and sleep timing.",,,"Circadian clock mechanics. Suprachiasmatic nucleus. Morning light protocol (10,000 lux within 30 min of waking). Evening blue light elimination. Consistent sleep onset. Pre-sleep 60-min downregulation sequence. WBTB timing explained.",,,Complete the 60-min pre-sleep protocol tonight. Log attempt time and sleep quality in tracker. Note anything unusual about the hypnagogic phase.,,Protocol PDF: Nights 1-2,,Record
M3,Night 3-4: Hypnagogic Transition Control,,,16 min,Student can identify hypnagogic phenomena and hold awareness in the threshold state without falling unconscious or snapping awake.,,,"What hypnagogia is. Visual, auditory, sensory hallucinations. Hypnic jerks. The three anchor techniques: Breath, Sensory, Visual. How to observe without reacting. The WILD entry window (10-30 min). WBTB technique introduction.",,,Practice breath anchor technique for 15 minutes tonight. Log which anchor feels most natural. Note what hypnagogic phenomena you observed.,,Protocol PDF: Nights 3-4,,Record
M4,Night 5: Sleep Paralysis Stabilization,,,14 min,"Student reframes sleep paralysis as success, not threat. Can execute stabilization protocol and transition from SP into lucid dream.",,,Sleep paralysis physiology (glycine/GABA inhibition). Why threatening imagery occurs. Ventromedial medulla explained. 5-step SP stabilization protocol. Breathing to activate parasympathetic. 30-90 second wait window. Panic reframe: arousal as fuel.,,,Read the SP section of the Protocol PDF again. Visualize the stabilization protocol before bed. Log whether SP occurred and what you did.,,Protocol PDF: Night 5,,Record
M5,Night 6: Lucidity Stabilization,,,16 min,Student can maintain lucid awareness for 5-30 minutes without dream collapse. Knows 3 grounding techniques and how to use lucid time productively.,,,"Why lucidity collapses (arousal spike). Sensory grounding: touch ground, rub hands, spin. Vocal declaration (""Increase clarity""). Setting specific pre-sleep intentions. Using lucid time for mental rehearsal, problem solving, skill practice. Directing dream environment.",,,"Before bed: write one specific intention (problem, skill, or scenario). After waking: voice-record dream details immediately. Log lucidity duration and what you did.",,Protocol PDF: Night 6,,Record
M6,Night 7: Performance Integration,,,12 min,Student executes a full WILD session with deliberate cognitive intent. Integrates insights via journaling and understands how to interpret results.,,,Pre-sleep precision intention setting. Visualization before sleep. The performance window: what to do during lucidity. Integration journaling (4 questions on waking). Results interpretation: 14/43/71% benchmarks. Common failure modes and fixes.,,,Complete the full 7-night tracking template. Calculate your success rate. Write a one-paragraph summary of what you achieved and what you will repeat.,,Protocol PDF: Night 7,,Record
M7,Your Next 30 Days: Building the Skill,,,8 min,Student has a clear 30-day roadmap for continued practice. Understands how to cycle the protocol and how community supports progress.,,,15-20% improvement per cycle. How to run subsequent 7-night cycles. When to troubleshoot vs. continue. Introduction to Discord community: how to use it for accountability. Preview of Tier 2 advanced techniques. Community challenge structure.,,,Join the Discord server (link in course). Post your Week 1 results in #wild-protocol-results. Set your next 7-night cycle start date.,,Community bridge,,Record
PRODUCTION NOTES,,,,,,,,,,,,,,,
Recording Setup,,,Webcam face cam + screen share for visuals. Clean background or minimal desk setup. Loom (free) works for all 7 modules.,,,,,,,,,,,,
Visual Assets Needed,,,Brain diagram (REM/prefrontal). Sleep cycle graph (NREM/REM). Hypnagogia visual (transition state graphic). 7-night protocol overview slide.,,,,,,,,,,,,
Tone,,,"Clinical, precise, confident. Like a performance coach, not a wellness guru. No spirituality. No woo. Reference wearable data and neuroscience.",,,,,,,,,,,,
Script Source,,,All script content is in WILD_Phase_One_Marketing_Funnel.docx under Lead Magnet Full Text. Expand each night into module format.,,,,,,,,,,,,
Platform,,,Gumroad for fast launch (3-4 days to set up). Teachable/Kajabi if building full LMS. Skool if combining course + community in one platform.,,,,,,,,,,,,
Pricing Page CTA,,,"Use the hook formulas from Marketing Funnel doc. Lead with ""730 hours of wasted REM per year."" Add social proof once first students complete.",,,,,,,,,,,,
